Company Name,Ticker,% Ratio of Q1/Q0,% Change F1 Est. (4 weeks),Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Reported Qtr ,Last Yr's EPS (F0) Before NRI,Last Reported Fiscal Yr ,12 Mo Trailing EPS,Earnings ESP (Expected Surprise Prediction),% Change Q2 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),% Change EPS (F(-1)/F(-2)),Long-Term Growth Consensus Est.,5 Yr. Hist. EPS Growth,Q0 Consensus Est. (last completed fiscal Qtr),Q2 Consensus Est. (next fiscal Qtr),Q1 Consensus Est. ,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,Average Target Price,% Rating Upgrades ,% Rating Strong Buy or Buy,% Price Change (YTD),% Price Change (12 Weeks),% Price Change (4 Weeks),% Price Change (1 Week),Beta,Price as a % of 52 Wk H-L Range,52 Week High,52 Week Low,Last Close,Avg Volume,Market Cap ,Relative Price Change,# of Brokers in Rating,# Rating Strong Buy or Buy,% Rating Strong Sell or Sell,% Rating Change - 4 Weeks,Industry Rank (of ABR),Rank in Industry (of ABR),Change in Avg Rec ,# Rating Upgrades,# Rating Downgrades ,% Rating Hold,% Rating Downgrades ,# Rating Strong Sell or Sell,# Rating Hold,Shares Outstanding ,% Ratio of Q1/prior Yr Q1 Actual Q(-3),% Change Q0 Est. (4 weeks),Long Term Debt ,Current Liabilities ,Current Assets ,Intangibles,Inventory ,Receivables ,Asset Utilization,Inventory Turnover,Operating Margin 12 Mo,Turnover,Net Margin,Preferred Equity,Common Equity,Book Value,% Change Q1 Est. (4 weeks),Current ROI (TTM),Current ROE (TTM),ROI (5 Yr Avg),Current Avg Broker Rec,Cash Ratio,Quick Ratio,Current Ratio,Debt/Equity Ratio,Debt/Total Capital,Dividend ,5 Yr Hist. Div. Growth %,Current ROA (TTM),Price/Sales,Price/Book,Price/Cash Flow,PEG Ratio,P/E (F2),P/E (F1),P/E (Trailing 12 Months),Q(1) Consensus Sales Est. (Mil.),F(1) Consensus Sales Est. (Mil.),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),ROA (5 Yr Avg),Market Value/# Analysts,5 Yr Div. Yield %,Div. Yield %,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,Pretax Income ,EBIT ,EBITDA ,Cost of Goods Sold,Annual Sales,
THOMSON REUT-TS,T.TRI,92.73,-.43,10,16.28,-2.24,.55,.55,20140601,1.71,20131231,1.77,0,4.67,-1.73,0,22.57,-19.72,-55.21,8,3.96,.5,.56,.51,1.89,2.1,2.41,44.74,0,50,3.11,8.29,5.37,1.02,.39,96.91,41.64,34.52,41.42,600527.63,33288.75,-3.34,6,3,0,0,,,0,0,0,50,0,0,3,803.69,102,-7.41,7695.58984,4904.77978,4017.78002,27179.75976,0,1803.88,.40347,,10.67,7.25059,.01,0,16926.17968,21.68,-3.77,5.76,8.31,5.8892,2,.45137,.82,.76,.46,31.66099,0,,4.31,2.43,1.91,10.38,2.47,17.2,19.76,23.4,3406.78491,13067.87304,-1.14,5.41,4.39779,6657.75097,0,0,-73.56008,-55.21,-91.02325,3303.68994,190.58,1033.29003,1033.29003,2918.55004,9842.53027,14042.82,
TRAVELCENTERS,TA,,0,-23.33,27.27,-8.94,-.37001,-.37,20131201,.33,20131231,.32,,0,0,0,148.48,-71.3,,15,,.46,.09,.45,.45,.82,1.12,15,0,100,-.92,15.43,7.22,2.88,2.93,66.93,10.92,7.08,9.65,180407.5,363.08,-7.12,1,1,0,0,91,1,0,0,0,0,0,0,0,37.63,-109.76,0,453.92001,303.60998,470.39001,48.77,199.19999,105.93,6.51,35.137,.12,52.34799,0,0,453.86999,12.38,0,1.1,2.41,-4.35851,1,.54431,.89,1.55,,50.00299,0,,.76,.05,.78,5.09,.78,8.62,11.77,30.16,2130.17993,8210.92968,,-.64,-1.83771,363.08099,0,0,,,-1.77073,69.43499,31.62,5,22.64999,82.23999,6791.8999,7944.73,
TRANSALTA CORP,TAC,-250,-18.02,-100,7.69,-51.05,-.04,-.04,20140601,.27,20131231,.25,0,,2.78,,12.34,-44.9,-161.82,,-23.69,.19,.02,.1,.49,.3,.37,11.89,0,0,-7.81,-5.42,-.76,3,.51,15.69,14,11.26,11.69,98707.6,3177.77,-13.58,4,0,25,0,228,80,0,0,0,75,0,1,3,271.84,71.43,,4011.87011,827.63,725.63,760.59997,74.79,470.14999,.25499,11.30799,3.05,5.7136,0,758.65997,2566.43994,9.13,,1.04,2.78,2.5032,3.5,.21832,.79,.6,1.28,49.81299,1.1389,-5.1586,.78,1.39,1.28,4.63,,31.59,38.54,46.76,,2310.3999,-4.6,-5.26,1.91299,1059.25793,6.36,5.62,98.61088,-161.82,99.28979,676.69,-3.88001,-11.65,237.02,805.28002,899.51,2088.43,
TRANSACT TECH,TACT,600,0,-71.43,-50,-37.86,.01999,.02,20140601,.54,20131231,.33,,0,0,,-35.19,0,-26.89,,11.78,.07,.12,.12,.6,.35,.52,11,0,100,-41.74,-30.54,-24.9,-2.93,.6,2.09,14.78,7.14,7.3,35706.35,60.8,-45.39,1,1,0,0,45,2,0,0,0,0,0,0,0,8.33,66.67,0,0,7.34999,32.22,4.46999,13.5,13.22999,1.3861,2.44639,5,4.24149,.08,0,32.52,3.87,0,8.82,8.82,12.90999,1,.74693,2.55,3.99,0,0,.27,,6.93,1.07,1.89,9.41,,14.04,20.86,22.12,17.2,62.02,.12,-12.06,9.86079,60.80199,.94,4.38,16.68066,-26.89,36.18784,6.399,4.92999,6.53,6.59,8.32999,35.04,60.14,
TAHOE RESOURCES,TAHO,100,4.65,14.29,-19.05,1.87,.23999,.24,20140601,-.45,20131231,.23,0,,-2.31,-1.34,333.33,30.77,141.18,32.35,,.21,,.24,-.46,1.05,1.27,24.44,0,0,57.45,16.6,-2.67,-3.75,-.1,90.42,27.31,15.72,26.2,177756.84,3847.47,47.6,3,0,33.33,0,116,91,0,0,0,66.67,0,1,2,146.85,-218.18,0,0,104.95999,35.81,0,22.95999,2.5,,2.7026,,,,0,774.15002,5.77,,4.47,4.47,,3.67,.0986,.12,1.12,0,0,0,,3.92,,4.54,,.77,20.68,24.95,113.91,,429.04998,,,,1282.48999,,0,83.66829,141.18,29.81273,-61.417,-65.59,-63.97001,-63.97001,-59.79001,0,,
TAL INTL GRP,TAL,101.58,-2.36,-2.06,-3.16,-3.39,.94999,.95,20140601,4.15,20131231,3.89,0,-2.75,-3.38,0,-7.95,5.87,-11.28,10,31.11,.97,.98,.96,4.17,3.82,4.03,47.3,0,36.36,-23.28,-.56,-5.92,-.18,1.75,19.04,57.35,40.86,44,371369.09,1495.78,-28.08,11,4,9.09,5.46,216,10,0,0,0,54.55,0,1,6,33.99,93.69,-.69,2817.92993,535.44,429.35,74.51999,0,74.16999,.15786,,20.64,8.09459,.22,0,691.90997,20.45,-3.98,3.72,19.04,3.8793,2.36,.66334,.8,.82,4.13,80.48899,2.68,79.648,3.26,2.35,2.15,4.19,1.15,10.92,11.52,11.31,158.188,640.55999,17.6,9.11,3.3863,186.9725,5.3,6.55,.69177,-11.28,10.01306,355.30899,143.16,220.86,332.57998,547.92999,89.86,642.86,
TAMINCO CORP,TAM,117.86,-4.87,-16,-21.05,-92.46,.20999,.21,20140601,.42,20131231,.32,0,-14.47,-6.19,0,97.62,,633.33,12.5,,.25,.16,.25,.45,.83,1.06,24.25,0,50,11.33,4.94,4.51,2.88,1.93,78.24,23.39,19.3,22.5,161808.45,1494.25,4.36,4,2,0,0,154,8,0,0,0,50,0,0,2,66.41,275,0,908,155,311,1005,138,71,.65992,7.18909,1.73,14.43599,-.01,0,525,8.22,-3.88,1.46,4.15,,2,.65806,1.12,1.84,1.9,65.509,0,,1.14,1.17,2.74,9.99,2.17,21.23,27.11,70.31,358.31698,1396.557,,23.46,,373.56201,,0,-121.73913,633.33,75,149.5,-7,-7,77,201,986,1200,
TAOMEE HOLDINGS,TAOM,,0,-75,350,193.75,.00999,.01,20140301,.18,20131231,.15,,0,,,-116.67,-25,-43,,-43.53,-.04,.01,-.01,.12,-.03,0,,0,0,-3.96,5.21,-2.61,-2.41,1.03,13.62,8.18,4.32,4.85,15867.75,183.74,-9.97,1,0,0,0,127,30,0,0,0,100,0,0,1,37.88,-33.33,0,0,29.26,129.53999,1.25,.18999,2.78999,.34143,32.136,12.33,12.29899,.11,0,121.91999,3.17,0,5.25,5.25,17.70899,3,4.32535,4.42,4.06,,0,0,,4.21,3.64,1.53,20.27,,,,32.33,15.89999,50.72,3.86,20.26,10.81099,183.73699,0,0,,-43,-38.60045,8.8,5.44,6.65,6.65,8.88,13.26,48.35,
MOLSON COORS-B,TAP,96.34,2.3,9.03,57.14,17.14,1.57,1.57,20140601,3.95,20131231,4.25,0,-1.71,1.67,2.36,10.58,1.02,23.62,6.51,3.04,1.44,.77,1.51,3.99,4.37,4.38,72.8,0,42.86,33.89,16.74,4.14,4.53,.85,100,75.18,48.44,75.18,1336195.75,12280.95,25.51,7,3,0,0,89,8,0,0,0,57.14,0,0,4,163.35,104.31,.17,3213,2142.10009,1537.69995,9243.7998,205.3,603.59997,.38466,10.24499,13.1,8.15569,.09,0,8663.7998,55.13,-2,6.65,9.12,7.0885,2.14,.34022,.62,.85,.36,26.31399,1.27999,7.8864,5.04,2.04,1.37,11.4,2.65,17.17,17.21,17.69,1188.69995,4217.49023,9.87,6.85,5.2726,2456.19091,2.59,1.97,74.16687,23.62,28.05868,1067.90002,567.29998,654.5,838.29998,1179.09997,2545.60009,5999.6,
TASER INTL INC,TASR,133.33,3.16,40,50,68.21,.07,.07,20140601,.36,20131231,.35,0,0,-8.39,0,-9.26,50,26.65,30,3675.18,.05,.1,.09,.31,.33,.44,15.5,0,75,-7.56,9.96,28.1,18.58,.14,45.61,20.5,9.8,14.68,1408172.25,790.77,-13.34,4,3,0,12.5,35,6,0,0,0,25,0,0,1,53.87,93.33,-11.11,.05999,23.12,97.45999,5.55,11.1,22.47999,1.00569,4.29069,12.52,6.9004,.13,0,108.33999,2.05,3.7,17.1,17.11,6.84399,1.75,2.76297,3.74,5.05,0,.03619,0,,12.59,5.32,7.16,31.08,1.5,33.62,44.94,41.94,39.248,154.82899,9.36,20.11,5.05,263.58932,0,0,39.71332,26.65,23.82892,24.496,18.23999,28.03,28.03,33.45,51.97999,137.83,
CARROLS RESTRNT,TAST,80,-23.53,0,6.25,10.94,-.05001,-.05,20140601,-.47,20131231,-.52,0,-75,-83.33,,10.64,-104.35,41.62,,-25.95,-.05,-.07,-.04,-.58,-.42,-.22,10,0,100,3.63,-.15,-9.51,0,1.25,57.85,7.95,5.34,6.85,370887.75,241.19,-2.85,1,1,0,0,142,3,0,0,0,0,0,0,0,35.21,44.44,0,167.55,50.63999,28.67,111.12999,6.48999,5.46999,1.9084,83.26599,-1.89,95.90899,-.02,0,77.19999,3.86,-300,-4.8,-13.67,2.0945,1,.32997,.44,1.71,1.22,54.963,0,,-3.61,.37,1.78,7.21,,,,,177.49699,670.39398,-5.86,23.08,1.40139,241.18899,0,0,25.18645,41.62,28.44279,21.88599,-13.51001,-23.91,-5.07001,27.57999,516.44,663.48,
TRANSATL PETROL,TAT,77.78,71.43,28.57,0,,.18,.18,20140601,.38,20131231,.11,35.71,85.71,50.88,,57.89,480,-2422.66,,,.14,.19,.14,.3,.6,.86,12,0,50,30.59,37.04,-4.97,2.3,1.85,74.81,12.48,7,11.1,87947.95,415.17,22.42,2,1,0,0,171,6,0,0,0,50,0,0,1,37.4,-140,200,26.47999,115.65,67.69,7.53,0,46.97,.4013,,2.12,3.23589,-.1,0,167.30999,4.68,47.37,1.34,1.69,-6.19771,2.5,.17916,.59,.69,.34,25.43799,0,,.85,2.96,2.37,7.42,,12.91,18.5,100.91,40.444,158.26899,31.7,-9.09,-4.41621,207.5865,0,0,-161.49482,-2422.66,-184.42119,55.859,-13.71001,-12.16,-8.24,33.59,20.84,130.83,
TATE & LYLE ADR,TATYY,,0,,,,,,,3.37,20140331,,,,0,,-1.19,-1.75,,,,,,,3.64,3.33,3.48,,0,50,-13.72,-.3,-1.62,2.42,.65,37.32,53.96,41.5,46.15,31557.75,5373.85,-19.12,2,1,0,0,113,23,0,0,0,50,0,0,1,116.44,,,697.96002,1206.72998,1920.58996,618.46997,664.57,499.22,,6.04409,,,.08,0,1669.39001,14.34,,,,,2,.62714,1.04,1.59,,29.48299,1.60989,1.8774,,,3.22,8.53,,13.26,13.86,,,4427.56005,,7.52,,5373.84521,4,3.91,,,-1.24007,630.27001,434.04,461.07,519.89001,707.48999,3507.31005,5275.47,
LIBERTY TAX INC,TAX,,0,-3.96,75,,2.18,2.18,20140401,1.49,20140430,1.2,,0,0,0,24.83,17.32,20.53,20,17.11,-.54,.31,-.69,1.5,1.86,2.25,37,0,100,45.27,27.9,2.2,-1.07,.27,97.58,35.77,16.36,35.3,28215.85,411.03,36.18,1,1,0,0,41,10,0,0,0,0,0,0,0,11.64,150,0,21.69,55.77999,125.52999,17.29,0,65.65,.81049,,10.9,1.83399,.14,0,110.18,9.06,0,11.75,20.33,27.38599,1,1.0735,2.25,2.25,,16.44799,0,,8.84,2.57,4.02,14.2,.95,15.69,18.98,29.42,8.55,177.89999,24.67,8.19,17.565,411.03298,,0,,20.53,24.7446,31.183,21.97999,35.63,36.97999,46.59,0,159.7,
MEDALLION FINL,TAXI,166.67,0,-34.78,-46.15,,.15,.15,20140601,.55,20131231,.65,,0,0,,76.36,27.91,4.15,,-.67,.23,.26,.25,,.97,1.17,15,0,0,-18.26,-12,2.71,.43,.94,8.94,17.74,11.14,11.73,232441.55,295.15,-23.37,1,0,0,0,123,37,0,0,0,100,0,0,1,25.16,125,0,314.95001,6.59999,411.1,5.05999,0,358.92999,.06579,,39.06,.10661,.34,0,273.48999,11.01,0,2.59,5.8,1.94379,3,7.90454,62.29,75.96,1.19,54.25,.88999,9.5115,2.57,7.57,1.07,21.78,,10.03,12.09,18.05,,,-4.05,11.96,1.9206,295.14999,7.35,8.18,2.15516,4.15,39.04109,13.439,12.18,12.18,20.54,21.79,0,36.21,
TAYLOR CAP GRP,TAYC,166.67,0,-33.33,-3.03,-14.09,.23999,.24,20140601,1.61,20131231,1.23,,-7.08,,0,-6.83,-13.9,-38.64,9,,.36,.35,.4,1.51,1.5,,24.5,0,50,-20.81,-1.22,-.85,-2.09,1.7,5,26.75,20.75,21.05,45822.55,618.24,-25.76,2,1,0,9.09,210,23,-.25,0,0,50,0,0,1,29.37,117.65,5.56,86.59999,5134.66015,4131.20996,216.11,473.89001,3566.51,.05835,.02543,12.82,.09521,.17,100.01,364.54,13.6,-1.64,7.46,11.54,2.4103,2.5,.01768,.71,.83,.22,14.781,0,,.75,1.82,1.55,9.94,1.56,,14.03,17.11,90.18499,334.46701,9.46,4.23,.1481,618.23901,0,0,-28.51383,-38.64,.16154,62.10699,62,99.87999,109.06999,121.87,15.48999,355.62,
BANCORP BNK/THE,TBBK,-7.14,-126.51,-30.77,-96.3,-23.56,.09,.07,20140601,.66,20131231,.4,,-137.5,-15.83,,-116.67,32,-41.51,,84.78,.13,-.06,-.01,.59,-.11,1.01,14,0,33.33,-50.14,-40.74,-17.85,-1.54,1.1,2.88,20.04,8.6,8.93,519881.59,336.71,-53.26,3,1,0,0,182,36,0,0,0,66.67,0,0,2,37.71,-3.85,0,13.39999,4294.20996,3241.23999,7.61,69.9,1933.39001,.04626,.09035,7.28,.10343,.13,0,359.6,9.88,-104,3.96,4.11,3.78239,2.67,.28828,.74,.68,.04,3.4725,0,,.34,1.64,.9,8.94,,8.84,,22.33,50.491,206.05299,21.49,29.72,.34975,336.70599,0,0,-10.25028,-41.51,51.08302,37.65999,25.11,38.93,39.52999,52.08,10.15999,189.98,
TRUEBLUE INC,TBI,111.79,.43,34.48,33.33,19.23,.38999,.39,20140601,1.12,20131231,1.27,0,23.99,2.6,0,21.65,33.33,54.11,10,40.64,.29,.51,.44,1.09,1.36,1.72,34.5,0,40,4.42,.19,-11.71,.37,1.99,49.88,31.21,22.65,26.92,253514.45,1112.79,-2.11,5,2,0,-10,,,0,0,0,60,0,0,3,41.34,90.83,0,29.64999,121.4,356.45001,113.73999,0,202.57,2.42429,,2.95,8.6187,.03,0,393.35998,10.07,-21.21,12.14,13.04,8.55319,2.2,1.26754,2.94,3.15,.07,6.41069,0,,7.15,.64,2.67,16.8,1.98,15.69,19.76,21.2,640.66998,2210.90991,12.08,20.11,4.74069,278.19799,0,0,53.61505,54.11,33.61094,65.801,44.91999,60.93,62.16999,82.63999,1226.61999,1668.93,
TRANSGENOMIC,TBIO,101.75,-15.61,-7.55,-27.66,-12.28,-.57,-.57,20140601,-.19,20131231,-1.94,0,-34.78,,0,-1147.37,89.45,-54.36,20,,-.53,-.62,-.58,-2.04,-2.37,-2.44,10,0,100,-27.69,1.8,6.18,-.75,.8,20.13,7.32,3.1,3.95,25006.75,29.05,-32.21,1,1,0,0,19,19,0,0,0,0,0,0,0,7.35,80.52,-6,6.30999,8.61999,11.82999,16.11,3.95,5.30999,.82647,3.57929,-68.72,4.4619,-.58,.01999,11.42,1.4,-20.83,-97.18,-138.53,-35.376,1,.29814,.91,1.37,.6,37.5,0,,-56.8,1.12,2.82,,,,,,6.8,26.37,7.81,-12.5,-21.078,29.048,0,0,-81.81621,-54.36,-92.06731,-13.247,-15.98,-16.04001,-15.4,-12.66,15.03999,27.54,
TRACTEBEL -ADR,TBLEY,,-3.86,0,,,.2,.2,20140301,.92,20131231,.88,,,-2.89,,8.15,-22.03,-28.77,,-14.07,.3,,,.94,1,1.17,13.8,0,0,7.39,8.74,4.19,6.83,.82,67.31,17.95,13.3,16.43,4379.45,10724.52,.67,2,0,50,-33.33,228,88,0,0,0,50,0,1,1,652.74,,0,1318.89001,1017.82,1089.94995,58.88999,30.19,355.20001,.45368,51.05799,22.4,6.88859,.29,0,2500.43994,3.67,,15.13,23.02,17.52199,4,.69222,1.04,1.29,,35.062,.92808,29.89599,10.16,4.18,4.47,12.29,,13.98,16.51,18.67,,3135.36499,6.98,-7.86,12.069,5362.25927,3.33,3.11,,-28.77,-13.27446,872.66802,669.65997,932.98999,932.98999,1204.47998,1357.20996,2330.09,
TERRITORIAL BCP,TBNK,93.75,6.32,14.29,12.12,13.35,.4,.4,20140601,1.49,20131231,1.53,0,5.63,4.71,,1.68,2.76,-1.55,,10.85,.35,.38,.38,1.45,1.51,1.55,24,0,0,-10.47,1.42,2.32,.34,.23,22.96,23.89,19.84,20.77,23964.45,205.21,-16.08,3,0,0,0,182,44,0,0,0,100,0,0,3,9.88,96.15,0,15,1384.64001,938.41998,0,2.21,860.84997,.04004,3.17779,22.44,.07442,.23,0,212.13999,21.72,5.63,6.38,6.83,5.83559,3,.05442,.68,.69,.07,6.5328,.51999,27.926,.9,3.17,.96,13.19,,13.36,13.71,13.57,14.19999,56.79999,.99,-3.46,.88419,102.60399,1.68,2.89,-3.15282,-1.55,-1.28119,16.027,14.64,23.48999,25.46999,26.85,4.28999,64.89,
THERAVANCE BIO,TBPH,99.45,-53.03,-226.79,,,-1.83001,-1.83,20140601,,20131231,,0,-15.19,7.6,,,,,,,-.56,-1.82,-1.82,,-5.18,-5.65,27.5,0,50,,,-13.63,-3.34,,37.32,34.87,23.51,27.75,132414.16,893.02,,2,1,50,-50,10,125,1,0,0,0,0,1,0,32.18,,0,,,,,,,,,,,,,,11.96,-24.66,,,,3,,,9.54,0,0,0,,,,2.32,,,,,,1.07599,4.03,,,,446.5115,,0,,,,,,,,,,,
TRIBUTE PHARMA,TBUFF,22.22,-10.81,-125,-50,,-.09001,-.09,20140601,-.12,20131231,-.17,,50,-100,,-13.89,-33.33,,,,-.04,-.01,-.02,-.1,-.14,0,1.27,0,66.67,41.67,-10.53,-16.39,-6.42,1.49,36.4,.8,.34,.51,22366.9,23.65,32.8,3,2,0,0,10,96,0,0,0,33.33,0,0,1,46.38,40,0,5.46999,6.3,5.21999,12.93,1.00999,1.2,.68818,6.75239,-67.03,8.798,-.47,0,7.67,.09,0,-71.23,-135.28,,1.43,.47777,.67,.78,,61.698,0,,-46.13,1.76,5.89,,,,,,3.95,15.52999,,8.83,,7.88466,,0,,,-90.44777,-4.691,-6.38001,-6.69001,-6.18,-4.93,7.23,13.44,
THOMPSON CREEK,TC,75,-8.43,-23.08,125,-5.08,.1,.1,20140601,-.03,20131231,-.09,0,-19.57,-67.22,,1005.57,85,68.38,,7.06,.13,.07,.08,-.05,.27,.1,3.72,0,66.67,30.73,-.7,1.79,1.79,1.71,47.87,3.95,1.84,2.85,1259685.75,489.51,22.55,6,4,16.67,0,25,28,0,0,0,16.67,0,1,1,171.76,-187.5,30.3,975.59997,180.6,496,0,187.89999,58.5,.19645,2.9988,-1.52,9.08129,-.49,0,1106.19995,6.62,-25,-.41,-.81,4.8129,2,1.38205,1.71,3.05,1.5,59.977,0,,-.3,.79,.43,8.16,,28.98,10.49,,198.58,815.41699,-1.73,8.22,3.66919,81.58449,0,0,53.3437,68.38,60.64433,59.9,-215,-278.4,-254.30001,-189.4,318.89999,434.4,
TRIANGLE CAP CP,TCAP,105.98,.73,1.92,0,3.25,.52999,.53,20140601,2.23,20131231,2.12,0,1.15,.54,0,-3.27,3.24,7.7,5,3.21,.52,.58,.56,2.25,2.16,2.41,29.33,0,71.43,-1.52,5.95,-.73,-1.48,.63,44.95,30.28,24.74,27.23,289682.75,759.83,-7.68,7,5,0,12.61,123,16,0,0,0,28.57,0,0,2,27.9,92.08,0,354,4.07999,150.44999,0,0,5.25,.12092,,59.54,23.27599,.8,0,445.79,15.98,.9,7.3,13.21,7.73449,1.86,35.58823,36.88,27.55,.84,45.631,2.16,8.2096,7.2,7.73,1.7,13.1,2.52,11.31,12.62,12.84,26.22299,102.48799,39.93,11.8,7.6128,108.54656,9.53,7.93,14.31694,7.7,35.21477,57.50899,81.20999,81.75,101.98,97.97,0,101.03,
TCF FINL CORP,TCB,102.12,2.23,7.41,4.35,1.85,.28999,.29,20140601,.82,20131231,.98,0,-.82,-.24,0,37.9,166.13,76.25,9,3.47,.27,.3,.3,.83,1.13,1.26,17.96,0,35.71,-4.12,-.64,-1.7,.71,1.18,51.21,17.19,13.89,15.58,1046078.81,2596.06,-10.12,14,5,14.29,-5.24,210,18,0,0,0,50,0,2,7,166.63,128.76,.85,1483.31994,14931.75976,16589.55078,225.63999,79.76,15594.70996,.06913,.20582,14.06,.08189,.12,263.23999,1701.51,10.85,1.25,5.35,10.4,1.3025,2.43,.06128,1.11,1.09,.68,37.09199,.2,0,.97,2.02,1.44,9.53,1.53,12.39,13.78,15.9,312.807,1242.359,-4.07,-7.74,.33807,199.69723,1.49,1.28,61.62986,76.25,171.24201,269.61801,151.66,243.03999,268.35,386.29998,36.59999,1268.6,
TEXAS CAP BCSHS,TCBI,104.98,.11,2.9,-17.81,-8.5,.70999,.71,20140601,2.72,20131231,2.72,0,-2.41,-1.31,0,2.66,-11.4,3.58,10,50.42,.69,.74,.75,2.86,2.79,3.36,61.69,0,50,-15.05,1.32,.86,2.68,1.02,39.03,66.85,43.87,52.84,409163.25,2275.29,-20.36,14,7,0,3.23,226,4,0,0,0,50,0,0,7,43.06,100.73,0,1079.43005,9428.73046,11618.70996,21.28,2784.55004,8680.23046,.04292,.02156,24.27,.04947,.25,150,946.34997,25.84,.39,6.11,12.38,5.3737,2,.01632,.94,1.22,.99,46.54199,0,,1.04,4.4,2.04,16.34,1.89,15.72,18.92,19.43,131.82499,509.62799,16.36,10.68,.91251,175.02238,0,0,-8.33032,3.58,.31491,132.546,121.05,187.8,191.55,203.05,21.35,488.65,
TRICO BANCSHRS,TCBK,108.33,-14.03,-25,18.42,-5.16,.3,.3,20140601,1.69,20131231,1.52,0,-11.63,-2.48,0,-14.2,43.22,1.13,10,37.27,.4,.38,.32,1.79,1.45,1.97,28.5,0,75,-20.34,-2.33,-.75,1.16,1.49,25.42,28.76,20.5,22.6,78452.25,364.4,-25.32,4,3,0,0,149,10,0,0,0,25,0,0,1,16.12,72.22,0,47.56999,2411.41992,2240.90991,16.39999,2.26999,1640.27001,.05277,1.5489,17.33,.08647,.19,0,250.94,16.18,-16.67,8.19,9.79,5.49259,1.75,.24814,.93,.86,.18,15.34799,.41999,-1.1077,.91,2.54,1.4,11.02,1.56,11.5,15.59,14.87,41.352,156.923,1.01,-2.25,.67878,182.201,2.33,1.95,11.66949,1.13,44.2338,32.979,27.38999,45.79999,47.04999,52.63,3.44,143.39,
TENCENT HOLDING,TCEHY,122.22,-.71,-10,10.81,-2.54,.09,.09,20140601,.27,20131231,.31,0,-12.7,7.02,0,56.72,17.54,222.26,28.4,6.31,.1,.11,.11,.28,.42,.61,,0,100,29.77,16.11,5.96,-2.14,1.51,89.89,17.57,9.16,16.72,387376.09,156204.09,21.65,5,5,0,0,49,10,0,0,0,0,0,0,0,9342.35,161.76,2.04,2012.93005,5372.62011,8670.28027,803.29998,223.50999,477.23001,.63508,29.517,25.38,24.28,.26,0,9441.76953,1.14,-6.78,24.82,30.36,27.13599,1.2,1.48336,1.57,1.53,,18.16699,.02336,55.977,16.12,13.61,14.66,50.51,1.4,27.41,39.81,53.94,3316.13989,12840.58984,47.16,40.77,16.55699,156204.09375,.26,.84,221.25819,222.26,23.87786,3080.82592,2513.41992,3113.87988,3113.87988,3696.23999,4486.14013,9830.08,
COMMNTY FIN CP,TCFC,128.57,0,-26.32,2.86,-4.72,.28,.28,20140601,1.88,20131231,1.54,,0,0,,-27.13,,,,,.38,.38,.36,1.97,1.37,1.7,24,0,100,3.63,-2.45,-8.13,-.79,,54.2,23.75,18.75,21.46,1303.1,100.56,-2.86,1,1,0,0,182,25,0,0,0,0,0,0,0,4.69,65.45,,,,,,,,.0427,,14.49,.05259,.15,,,19.89,0,3.41,6.87,,2,,,1.02,.8,39.748,.5,-29.54701,.62,2.28,1.08,,,12.62,15.66,13.94,,,,,,100.56199,,.47,,,,,6.651,,,,,43.85,
TECK RESOURCES,TCK,202.68,-7.11,16.67,-34.62,-2.46,.14,.14,20140601,1.57,20131231,1.12,0,-5.56,.63,3.3,-47.53,-38.67,-22.48,10.81,-4.5,.12,.27,.28,1.69,.82,1.35,25.6,0,35.71,-11.15,-.86,-2.32,-2.2,2.13,30.17,29.29,20.44,23.11,1948956.38,13101.06,-16.71,14,5,14.29,-5.88,116,73,0,0,0,50,0,2,7,566.9,64.49,0,7444.7998,2101.12988,5604.97021,1620.29003,1646.52001,1265.72998,.24741,4.1367,7.63,7.80259,.12,0,18273,30.33,1.86,2.56,3.61,6.58589,2.57,1.28155,1.88,2.73,.41,29.023,.85786,20.118,1.89,1.57,.76,6.23,2.59,17.15,28.05,20.63,2155.73291,8173.92919,5.22,-17.8,4.7645,1007.7738,1.91,3.59,-26.54061,-22.48,12.70519,2103.56591,981.10998,1596.01,1925.31005,3123.04003,6757.0498,8529.83,
